Distance_from_border,ln_effect_size,remaining_biomass,removed_biomass,removed_average,Area,Ratio,removed_biomass_total
0,-0.92,0.398519041,0.601480959,0.601480959,,,
100,-0.78230494,0.45735063,0.54264937,0.572065165,31415.92654,1,0.572065165
200,-0.68996835,0.501591944,0.498408056,0.520528713,94247.77961,3,0.533412826
300,-0.59343976,0.552423808,0.447576192,0.472992124,188495.5592,6,0.546696925
400,-0.492719,0.610962926,0.389037074,0.418306633,314159.2654,10,0.534055346
500,-0.39619035,0.672878601,0.327121399,0.358079237,471238.898,15,0.521063328
600,-0.31650364,0.728692359,0.271307641,0.29921452,659734.4573,21,
700,-0.23679855,0.789150246,0.210849754,0.241078698,879645.943,28,
800,-0.15714863,0.854577034,0.145422966,0.17813636,1130973.355,36,
900,-0.0942855,0.910022914,0.089977086,0.117700026,1413716.694,45,
1000,-0.029335516,0.971090593,0.028909407,0.059443247,1727875.959,55,
1100,0,1,0,0.014454704,2073451.151,66,
1200,0,1,0,0,2450442.27,78,
1300,0,1,0,0,2858849.315,91,
1400,0,1,0,0,3298672.286,105,
1500,0,1,0,0,3769911.184,120,
1600,0,1,0,0,4272566.009,136,
1700,0,1,0,0,4806636.76,153,
1800,0,1,0,0,5372123.438,171,
1900,0,1,0,0,5969026.042,190,
2000,0,1,0,0,6597344.573,210,
2100,0,1,0,0,7257079.03,231,
2200,0,1,0,0,7948229.414,253,
2300,0,1,0,0,8670795.724,276,
2400,0,1,0,0,9424777.961,300,
2500,0,1,0,0,10210176.12,325,
2600,0,1,0,0,11026990.21,351,
2700,0,1,0,0,11875220.23,378,
2800,0,1,0,0,12754866.17,406,
2900,0,1,0,0,13665928.04,435,
3000,0,1,0,0,14608405.84,465,
3100,0,1,0,0,15582299.56,496,
3200,0,1,0,0,16587609.21,528,
3300,0,1,0,0,17624334.79,561,
3400,0,1,0,0,18692476.29,595,
3500,0,1,0,0,19792033.72,630,
3600,0,1,0,0,20923007.07,666,
3700,0,1,0,0,22085396.35,703,
3800,0,1,0,0,23279201.56,741,
3900,0,1,0,0,24504422.7,780,
4000,0,1,0,0,25761059.76,820,
4100,0,1,0,0,27049112.75,861,
4200,0,1,0,0,28368581.66,903,
4300,0,1,0,0,29719466.5,946,
4400,0,1,0,0,31101767.27,990,
4500,0,1,0,0,32515483.96,1035,
4600,0,1,0,0,33960616.59,1081,
4700,0,1,0,0,35437165.13,1128,
4800,0,1,0,0,36945129.61,1176,
4900,0,1,0,0,38484510.01,1225,
5000,0,1,0,0,40055306.33,1275,
5100,0,1,0,0,41657518.59,1326,
5200,0,1,0,0,43291146.77,1378,
5300,0,1,0,0,44956190.87,1431,
5400,0,1,0,0,46652650.91,1485,
5500,0,1,0,0,48380526.87,1540,
5600,0,1,0,0,50139818.75,1596,
5700,0,1,0,0,51930526.56,1653,
5800,0,1,0,0,53752650.3,1711,
5900,0,1,0,0,55606189.97,1770,
6000,0,1,0,0,57491145.56,1830,
6100,0,1,0,0,59407517.08,1891,
6200,0,1,0,0,61355304.52,1953,
6300,0,1,0,0,63334507.9,2016,
6400,0,1,0,0,65345127.19,2080,
6500,0,1,0,0,67387162.42,2145,
6600,0,1,0,0,69460613.57,2211,
6700,0,1,0,0,71565480.65,2278,
6800,0,1,0,0,73701763.65,2346,
6900,0,1,0,0,75869462.58,2415,
7000,0,1,0,0,78068577.44,2485,
7100,0,1,0,0,80299108.23,2556,
7200,0,1,0,0,82561054.94,2628,
7300,0,1,0,0,84854417.57,2701,
7400,0,1,0,0,87179196.14,2775,
7500,0,1,0,0,89535390.63,2850,
7600,0,1,0,0,91923001.04,2926,
7700,0,1,0,0,94342027.39,3003,
7800,0,1,0,0,96792469.66,3081,
7900,0,1,0,0,99274327.85,3160,
8000,0,1,0,0,101787602,3240,
8100,0,1,0,0,104332292,3321,
8200,0,1,0,0,106908398,3403,
8300,0,1,0,0,109515919.9,3486,
8400,0,1,0,0,112154857.7,3570,
8500,0,1,0,0,114825211.5,3655,
8600,0,1,0,0,117526981.2,3741,
8700,0,1,0,0,120260166.8,3828,
